# 104614M30  idx 2  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 13.329 s
# (TH/BT)_LOS = 0.504584  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
8.37499976e-01 2.02096462e-01 1.43455392e+14 3.23722481e+15 2.89918272e+13 6.54231682e+14 5.43536186e-01 1.57581072e+13 3.55598593e+14 4.43143126e-02 5.09267885e-01
8.42499971e-01 2.00013020e-01 1.33076200e+14 3.06044296e+15 2.66169726e+13 6.12128438e+14 5.44980645e-01 1.45057349e+13 3.33598151e+14 4.34826598e-02 5.08892943e-01
8.47500026e-01 1.99551839e-01 1.23012400e+14 2.89301201e+15 2.45473506e+13 5.77305866e+14 5.47124624e-01 1.34304600e+13 3.15858255e+14 4.25205287e-02 5.08537764e-01
8.52500021e-01 1.99756705e-01 1.13673200e+14 2.73419177e+15 2.27069839e+13 5.46173138e+14 5.48596501e-01 1.24569719e+13 2.99628673e+14 4.15746991e-02 5.08200651e-01
8.57500017e-01 1.97522055e-01 1.04750496e+14 2.57558857e+15 2.06905333e+13 5.08735547e+14 5.50498128e-01 1.13900998e+13 2.80057966e+14 4.06705082e-02 5.07885388e-01
8.62500012e-01 1.98158440e-01 9.61740080e+13 2.41640559e+15 1.90576914e+13 4.78831163e+14 5.52091837e-01 1.05215959e+13 2.64358776e+14 3.98004409e-02 5.07587633e-01
8.67500007e-01 1.97295143e-01 8.82742800e+13 2.25736908e+15 1.74160867e+13 4.45367956e+14 5.53543210e-01 9.64055655e+12 2.46530408e+14 3.91049389e-02 5.07309888e-01
8.72500002e-01 1.96227577e-01 8.07158560e+13 2.09920527e+15 1.58386768e+13 4.11921963e+14 5.55447519e-01 8.79755376e+12 2.28801032e+14 3.84506734e-02 5.07052052e-01
8.77499998e-01 1.95963930e-01 7.34867200e+13 1.94264039e+15 1.44007465e+13 3.80687446e+14 5.56665838e-01 8.01640359e+12 2.11915696e+14 3.78282673e-02 5.06813180e-01
8.82499993e-01 1.96031276e-01 6.67028000e+13 1.78840069e+15 1.30758350e+13 3.50582469e+14 5.58548391e-01 7.30348659e+12 1.95817274e+14 3.72974582e-02 5.06592420e-01
