# 104614M29  idx 1  channel DD (2.45 MeV)  [BT anisotropy: dEps/dOmega toward KM14]  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374151  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
7.77499974e-01 2.10415218e-01 2.99422600e+12 4.45294043e+13 6.30030717e+11 9.36966432e+12 5.20096481e-01 3.27676759e+11 4.87312944e+12 6.72415463e-02 3.80292129e-01
7.82500029e-01 2.10350608e-01 2.84706000e+12 4.27601941e+13 5.98880802e+11 8.99463282e+12 5.21743834e-01 3.12462366e+11 4.69289421e+12 6.65820177e-02 3.79890216e-01
7.87500024e-01 2.07820203e-01 2.70873300e+12 4.09976734e+13 5.62929442e+11 8.52014482e+12 5.24064600e-01 2.95011393e+11 4.46510629e+12 6.60704077e-02 3.79508144e-01
7.92500019e-01 2.08860550e-01 2.57276100e+12 3.92468625e+13 5.37348278e+11 8.19712130e+12 5.26176810e-01 2.82740203e+11 4.31313514e+12 6.55532910e-02 3.79139350e-01
7.97500014e-01 2.07143718e-01 2.44580100e+12 3.75128027e+13 5.06632314e+11 7.77054144e+12 5.28135180e-01 2.67570348e+11 4.10389630e+12 6.51991007e-02 3.78788856e-01
8.02500010e-01 2.06061344e-01 2.32072200e+12 3.58005351e+13 4.78211095e+11 7.37710639e+12 5.30210197e-01 2.53552399e+11 3.91141703e+12 6.48236679e-02 3.78455128e-01
8.07500005e-01 2.05989438e-01 2.20405600e+12 3.41151012e+13 4.54012257e+11 7.02735052e+12 5.32026827e-01 2.41546700e+11 3.73873900e+12 6.46064623e-02 3.78136576e-01
8.12500000e-01 2.04547505e-01 2.08363000e+12 3.24615422e+13 4.26201318e+11 6.63992746e+12 5.34217477e-01 2.27684193e+11 3.54716529e+12 6.41876467e-02 3.77834541e-01
8.17499995e-01 2.04113408e-01 1.96058400e+12 3.08448993e+13 4.00181482e+11 6.29585750e+12 5.35954595e-01 2.14479104e+11 3.37429376e+12 6.35626650e-02 3.77547193e-01
8.22499990e-01 2.02722564e-01 1.84079900e+12 2.92702138e+13 3.73171493e+11 5.93373280e+12 5.38073361e-01 2.00793640e+11 3.19278355e+12 6.28898378e-02 3.77275204e-01
8.27499986e-01 2.02998672e-01 1.72777800e+12 2.77425271e+13 3.50736639e+11 5.63169616e+12 5.39642096e-01 1.89272255e+11 3.03910032e+12 6.22790416e-02 3.77016241e-01
8.32499981e-01 2.00929263e-01 1.61908900e+12 2.62668804e+13 3.25322359e+11 5.27778491e+12 5.41815162e-01 1.76264586e+11 2.85958389e+12 6.16399426e-02 3.76772470e-01
8.37499976e-01 2.01349345e-01 1.51519800e+12 2.48483150e+13 3.05084124e+11 5.00319195e+12 5.43536186e-01 1.65824261e+11 2.71941587e+12 6.09778973e-02 3.76540510e-01
