# 104614M29  idx 1  channel DD (2.45 MeV)  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374439  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
5.07499993e-01 2.97987355e-01 3.84477000e+13 1.51088762e+14 1.14569284e+13 4.50225406e+13 3.71278197e-01 4.25370772e+12 1.67158877e+13 2.54470945e-01 4.21614046e-01
5.12499988e-01 2.95897621e-01 3.68549200e+13 1.48725704e+14 1.09052831e+13 4.40075819e+13 3.74429822e-01 4.08326322e+12 1.64777510e+13 2.47804643e-01 4.20695175e-01
5.17499983e-01 2.93688451e-01 3.53611400e+13 1.46393282e+14 1.03851584e+13 4.29940161e+13 3.77652913e-01 3.92198533e+12 1.62368155e+13 2.41548926e-01 4.19766775e-01
5.22499979e-01 2.89393271e-01 3.38908600e+13 1.44085111e+14 9.80778682e+12 4.16972616e+13 3.80915314e-01 3.73593619e+12 1.58831255e+13 2.35214171e-01 4.18835909e-01
5.27499974e-01 2.88425297e-01 3.25138100e+13 1.41794807e+14 9.37780530e+12 4.08972093e+13 3.84140700e-01 3.60239669e+12 1.57102826e+13 2.29301839e-01 4.17895015e-01
5.32500029e-01 2.85360514e-01 3.11515400e+13 1.39515957e+14 8.88941945e+12 3.98123451e+13 3.87309492e-01 3.44295653e+12 1.54196991e+13 2.23282990e-01 4.16951380e-01
5.37500024e-01 2.82131912e-01 2.98595500e+13 1.37242230e+14 8.42433194e+12 3.87204126e+13 3.90382409e-01 3.28871100e+12 1.51157680e+13 2.17568238e-01 4.16008150e-01
5.42500019e-01 2.81040922e-01 2.86069200e+13 1.34967213e+14 8.03971516e+12 3.79313100e+13 3.93558413e-01 3.16409754e+12 1.49281862e+13 2.11954587e-01 4.15059237e-01
5.47500014e-01 2.77782393e-01 2.74010200e+13 1.32684523e+14 7.61152090e+12 3.68574242e+13 3.96669805e-01 3.01926051e+12 1.46202273e+13 2.06512557e-01 4.14113743e-01
5.52500010e-01 2.75041381e-01 2.62434400e+13 1.30393156e+14 7.21803199e+12 3.58635136e+13 3.99794012e-01 2.88572597e+12 1.43380180e+13 2.01263938e-01 4.13171557e-01
5.57500005e-01 2.74954475e-01 2.51095600e+13 1.28121188e+14 6.90398590e+12 3.52274939e+13 4.02926326e-01 2.78179767e+12 1.41940847e+13 1.95982885e-01 4.12223967e-01
5.62500000e-01 2.70238313e-01 2.40428400e+13 1.25873145e+14 6.49729652e+12 3.40157463e+13 4.06058699e-01 2.63828377e+12 1.38123897e+13 1.91008495e-01 4.11288734e-01
5.67499995e-01 2.69784015e-01 2.29893000e+13 1.23648412e+14 6.20214565e+12 3.33583649e+13 4.09012318e-01 2.53675397e+12 1.36439821e+13 1.85924750e-01 4.10351492e-01
5.72499990e-01 2.67923882e-01 2.19957000e+13 1.21446371e+14 5.89317333e+12 3.25383833e+13 4.12048906e-01 2.42827562e+12 1.34074052e+13 1.81114509e-01 4.09418487e-01
5.77499986e-01 2.64205196e-01 2.10266700e+13 1.19266409e+14 5.55535546e+12 3.15108048e+13 4.15162891e-01 2.30637743e+12 1.30821168e+13 1.76300018e-01 4.08496366e-01
5.82499981e-01 2.63989312e-01 2.00943600e+13 1.17107907e+14 5.30469626e+12 3.09152357e+13 4.18176502e-01 2.21829933e+12 1.29280251e+13 1.71588414e-01 4.07573899e-01
5.87499976e-01 2.61849935e-01 1.92082300e+13 1.14970250e+14 5.02967378e+12 3.01049525e+13 4.21171188e-01 2.11835368e+12 1.26793386e+13 1.67071307e-01 4.06658943e-01
5.92499971e-01 2.58230935e-01 1.83364100e+13 1.12852822e+14 4.73502829e+12 2.91420898e+13 4.24153894e-01 2.00838069e+12 1.23607309e+13 1.62480739e-01 4.05756693e-01
5.97500026e-01 2.59260930e-01 1.75195800e+13 1.10754983e+14 4.54214260e+12 2.87144398e+13 4.26993400e-01 1.93946491e+12 1.22608763e+13 1.58183222e-01 4.04852601e-01
